"Ref","Qnty","Value","Footprint","Description","Vendor","MPN","SKU","Digikey","LCSC","Link"
"J1","1","USB_A","libraries:USB_A_Female_UE27AC54100","USB Type A connector","","U-G-04WS-W-03","","WM3983CT-ND","","https://lcsc.com/product-detail/Others_Korean-Hroparts-Elec-U-G-04WS-W-03_C283548.html"
"J4","1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","210-91-04GB01","","","C390680","https://lcsc.com/product-detail/Pin-Header-Female-Header_PINREX-210-91-04GB01_C390680.html"
